start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part,channel
49440,32.526267,227,0.1493418812500015,42,F2.5#,80,2,0
49440,32.526267,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
49920,32.842056,227,0.1493418812500015,45,A2.75,80,2,0
49920,32.842056,227,0.1493418812500015,52,E3.333333333333333,80,2,0
50640,33.3157395,227,0.1493418812500015,45,A2.75,80,2,0
50640,33.3157395,227,0.1493418812500015,52,E3.333333333333333,80,2,0
51360,33.789423,227,0.1493418812500015,45,A2.75,80,2,0
51360,33.789423,227,0.1493418812500015,52,E3.333333333333333,80,2,0
51840,34.105212,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
51840,34.105212,227,0.1493418812500015,54,F3.5#,80,2,0
52560,34.5788955,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
52560,34.5788955,227,0.1493418812500015,54,F3.5#,80,2,0
53280,35.052579,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
53280,35.052579,227,0.1493418812500015,54,F3.5#,80,2,0
53760,35.368368,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
53760,35.368368,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
54480,35.8420515,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
54480,35.8420515,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
55200,36.315735,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
55200,36.315735,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
55680,36.631524,227,0.1493418812500015,42,F2.5#,80,2,0
55680,36.631524,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
56400,37.1052075,227,0.1493418812500015,42,F2.5#,80,2,0
56400,37.1052075,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
57120,37.578891,227,0.1493418812500015,42,F2.5#,80,2,0
57120,37.578891,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
57600,37.89468,227,0.1493418812500015,45,A2.75,80,2,0
57600,37.89468,227,0.1493418812500015,52,E3.333333333333333,80,2,0
58320,38.3683635,227,0.1493418812500015,45,A2.75,80,2,0
58320,38.3683635,227,0.1493418812500015,52,E3.333333333333333,80,2,0
59040,38.842047,227,0.1493418812500015,45,A2.75,80,2,0
59040,38.842047,227,0.1493418812500015,52,E3.333333333333333,80,2,0
59520,39.157836,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
59520,39.157836,227,0.1493418812500015,54,F3.5#,80,2,0
60240,39.6315195,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
60240,39.6315195,227,0.1493418812500015,54,F3.5#,80,2,0
60960,40.105203,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
60960,40.105203,227,0.1493418812500015,54,F3.5#,80,2,0
61440,40.420992,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
61440,40.420992,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
62160,40.8946755,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
62160,40.8946755,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
62880,41.368359,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
62880,41.368359,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
63360,41.684148,227,0.1493418812500015,42,F2.5#,80,2,0
63360,41.684148,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
64080,42.1578315,227,0.1493418812500015,42,F2.5#,80,2,0
64080,42.1578315,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
64800,42.631515,227,0.1493418812500015,42,F2.5#,80,2,0
64800,42.631515,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
65280,42.947304,227,0.1493418812500015,45,A2.75,80,2,0
65280,42.947304,227,0.1493418812500015,52,E3.333333333333333,80,2,0
66000,43.4209875,227,0.1493418812500015,45,A2.75,80,2,0
66000,43.4209875,227,0.1493418812500015,52,E3.333333333333333,80,2,0
66720,43.894671,227,0.1493418812500015,45,A2.75,80,2,0
