id,value,tweet,type,account_type
aliciakeys,7629,"Total and complete freedom and fearlessness ✨✨✨✨✨
#birthday #rebirth #intentions 
My wish for all of us💜🌈💜 https://t.co/67rOkCJIwv",0,0
aliciakeys,7342,I’ve been talking a lot about the power of words lately. I believe that the words we use shape the direction of our… https://t.co/X7RQWUCaqI,0,0
aliciakeys,7145,No human deserves to be attacked &amp; mistreated for BEING WHO THEY ARE. What happened yesterday is unacceptable! Pray… https://t.co/KDtouRocF8,0,0
CNN,30690,"BTS' V just dropped a new solo single titled ""Scenery."" The K-pop artist, whose real name is Kim Taehyung, self-com… https://t.co/DBmTyowfU7",0,1
CNN,27558,A Democrat and Republican have proposed a bill that would make animal cruelty a federal felony… https://t.co/paQRamsp36,0,1
CNN,12643,"This weekend, Canadian air traffic controllers ordered hundreds of pizzas for their American counterparts working w… https://t.co/U2vcZ5J9em",0,1
CNN,11271,"Before being sworn in as House speaker, Nancy Pelosi called up her grandchildren, as well as any other children who… https://t.co/4RA9YnNHZN",0,1
CNN,11019,"Jayme Closs rescued herself. Should she get the $50,000 reward money? https://t.co/FqObVVlBzk https://t.co/GohL6l9B2V",0,1
Louis_Tomlinson,162261,But underneath my skin there's a fire within,0,0
Louis_Tomlinson,87632,Confidence -@oceanalleyau . Banger!,0,0
Louis_Tomlinson,27370,"@lwtwasabi Get the single out , get the album out , get on tour! Got to reward you lot for your patience!",0,0
Louis_Tomlinson,25290,@irwinvisuals Honest,0,0
Louis_Tomlinson,24024,@proudofmatterry Loyal,0,0
nytimes,19483,"Video showing a group of high school boys, many wearing ""Make America Great Again"" gear, surrounding and jeering a… https://t.co/2obS3Q5r0n",0,1
nytimes,14993,"Breaking News: Kamala Harris said she would run for president. A barrier-breaking California senator, she’s one of… https://t.co/3mRIgwEfOE",0,1
nytimes,12998,A Catholic high school is condemning the actions of students seen jeering a Native American elder in a video that h… https://t.co/zH4GQYGYwZ,0,1
nytimes,10577,"Donald Trump and his associates had more than 100 contacts with Russians and WikiLeaks before the inauguration, a T… https://t.co/5d6LqHOGyQ",0,1
nytimes,9888,"BREAKING: Julián Castro, the former housing secretary under President Obama, will run for president in 2020. He's o… https://t.co/yyQcZzD5bz",0,1
BarackObama,1413869,"I knew it way back then and I’m absolutely convinced of it today — you’re one of a kind, @MichelleObama. Happy Birt… https://t.co/VLwQtcydJm",0,0
BarackObama,841326,"In 2018 people stepped up and showed up like never before. Keep it up in 2019. We’ve got a lot of work to do, and I… https://t.co/7XRYXZbFTu",0,0
BarackObama,767486,"I’ve always drawn inspiration from what Dr. King called life’s most persistent and urgent question: ""What are you d… https://t.co/Cxspr7qtwG",0,0
BarackObama,86345,The @ObamaFoundation is connecting people from around the world so they can form partnerships just like this. I am… https://t.co/dV9rIvzy8L,0,0
SportsCenter,86771,Klay Thompson only needed FOUR DRIBBLES to score 43 points 😳 https://t.co/k7xO0XpY3d,0,1
SportsCenter,65090,Breaking: Alabama QB Jalen Hurts has committed to play his senior season at the University of Oklahoma. (via The Pl… https://t.co/jngvHQVK2m,0,1
SportsCenter,64832,"The first major college football team to go 15-0 since 1897!

The Clemson Tigers are national champions! https://t.co/xJMyWw2roj",0,1
SportsCenter,60866,"• First teenager in NBA history with a 30-point triple-double
• First teenager in NBA history with multiple triple-… https://t.co/uPGnyVrG1B",0,1
SportsCenter,46006,This may be one of the best in-game dunks we've ever seen 😱 #SCtop10 (via @overtime) https://t.co/g01QvMtddH,0,1
espn,96538,"Calder Hodge, a 13-year-old QB with prosthetics legs, doesn't let anything stop him from playing the game he loves… https://t.co/7vFiA9NPC4",0,1
espn,79506,"Fans in Chicago took a swing at making the same 43-yard field goal Cody Parkey missed. 

They went 0-for-101. (via… https://t.co/vm5pha9BGO",0,1
espn,77942,"Shaq really tried to prank call @stephenasmith about the Cowboys 🤣
https://t.co/kLUODWI8ym",0,1
espn,67312,"Sean McVay has his own ""Get Back Coach"" to keep him on the sidelines during the game 😂

(via @NFLFilms)
https://t.co/pIzh1kLWvS",0,1
espn,58664,Russell Westbrook training his son Noah for the 2036 NBA draft 🏀 (via @okcthunder) https://t.co/t5SAXDuVjE,0,1
LilTunechi,34699,Koming soon !! https://t.co/elI4hsLRtI,0,0
LilTunechi,14342,Hands So Kold🤙🏾 #UGGxBAPE https://t.co/YyGlOJbEkL,0,0
LilTunechi,11509,Stoked to hit the stage !! #NationalChampionship #Halftime 🤙🏾,0,0
LilTunechi,9105,Let’s Work!!💪🏾🤙🏾 https://t.co/RxWrvyhFLz,0,0
LilTunechi,4946,🤙🏾 https://t.co/Du6nUDbB0d,0,0
britneyspears,104378,"Can you believe that this album was released 20 years ago today?! I can’t. It’s been the journey of a lifetime, but… https://t.co/YIbQqycPP6",0,0
britneyspears,43179,"I don’t even know where to start with this, because this is so tough for me to say. I will not be performing my new… https://t.co/x6ZgG1vRNA",0,0
britneyspears,24799,"I appreciate your prayers and support for my family during this time. Thank you, and love you all… always.",0,0
britneyspears,18744,"However, it’s important to always put your family first… and that’s the decision I had to make. A couple of months… https://t.co/ZxXHLvUHJH",0,0
britneyspears,17394,I had to make the difficult decision to put my full focus and energy on my family at this time. I hope you all can… https://t.co/4s8hs2KYNr,0,0
iamsrk,102425,Weekend Research: “A survey has found that One in Three men are just as lazy as the other Two! “ We r the other two… https://t.co/NRU4vfTEaI,0,0
iamsrk,62166,“Winning is only half of it....Having fun is the other half!! Playing is All of it....” The Playboys’  mantra. https://t.co/8SA7DYdsOg,0,0
iamsrk,22062,All the best my friend. So extremely happy for this. Love to you. Also very very proud of all your achievements.  https://t.co/iotCGyyXxr,0,0
rihanna,212543,3 years old....and this baby is still on the #Billboard200 album chart! Thank you for your continued support and en… https://t.co/2yy5EBgq33,0,0
rihanna,139510,Happy New Year!!! Get into the cure real quick! #PROFILTRCONCEALER coming January 11th. https://t.co/kQQqNe2d76 https://t.co/4wVq0bf7CQ,0,0
rihanna,127982,#ANTIversary this is pretty cool @geniesofficial https://t.co/qYwzMid2y2,0,0
rihanna,71141,This Valentine’s Day is all about you! Fall in 💗 with my newest @savagexfenty’s vday collection - out now!!… https://t.co/QaUdQAwXvW,0,0
rihanna,63421,"But music is, and always will be, my first love and direct connection to your spirit. I’m blessed to have y’all! On… https://t.co/OZK1vSz7Jy",0,0
KimKardashian,225172,The best!!! https://t.co/LsKZdFp8BO,0,0
KimKardashian,204125,Happy Birthday to my baby Chi!!!! The sweetest baby in the whole world! Mommy and Daddy love you so much! https://t.co/aXrYOKEQ3w,0,0
KimKardashian,190897,Casino Royale! Happy Birthday John!!!! https://t.co/vviB3BUCb7,0,0
KimKardashian,145738,Ummmm so this happened tonight!!!! #112 https://t.co/zOZEgGPJRl,0,0
KimKardashian,113569,💎 VERSACE FITTINGS 💎 https://t.co/pcf9UALyZ7,0,0
KingJames,117742,✈️ ‼️‼️‼️ https://t.co/km0GJ2FaWX,0,0
KingJames,76807,YesSir!!! Congrats my brother! 👏🏾🙏🏾 https://t.co/fkL8wGRgfH,0,0
KingJames,76193,On another note. Them 🦓’s be on some 🗑. Hate to see that happen in such a great game! 🤦🏾‍♂️,0,0
KingJames,71678,YesSir Men!!! Helluva WIN!!! @Lakers #LakeShow,0,0
KingJames,67561,Happy Gday brother!! Keep being you and leading ones who look for inspiration from you! Many lost ones but having y… https://t.co/rcOOcXMTPD,0,0
realDonaldTrump,278060,Happy New Year!,0,0
realDonaldTrump,265886,"Congratulations to President 
@JairBolsonaro who just made a great inauguration speech - the U.S.A. is with you!",0,0
realDonaldTrump,256423,"HAPPY NEW YEAR TO EVERYONE, INCLUDING THE HATERS AND THE FAKE NEWS MEDIA! 2019 WILL BE A FANTASTIC YEAR FOR THOSE N… https://t.co/wmZjFspKkb",0,0
realDonaldTrump,253443,"How do you impeach a president who has won perhaps the greatest election of all time, done nothing wrong (no Collus… https://t.co/kAHlDXEU3X",0,0
realDonaldTrump,252648,"Just left a meeting with Chuck and Nancy, a total waste of time. I asked what is going to happen in 30 days if I qu… https://t.co/NQeyjI5TXJ",0,0
ArianaGrande,466773,see u next year literally,0,0
ArianaGrande,439384,two albums in six months huh. that’s deep. love u. talk sooon.,0,0
ArianaGrande,366108,💍💍💍💍💍💍💍1.18. https://t.co/tRTxBujAJ3,0,0
ArianaGrande,358753,💍💍💍 of 7 https://t.co/LraKv7wtGT,0,0
ArianaGrande,316097,https://t.co/BDK3a1Zor8,0,0
ddlovato,420418,Anyone else ever been so tired you gotta take a nap before you can get ready for bed?,0,0
ddlovato,70665,That was me last night 😴,0,0
BillGates,57065,Congratulations to the Indian government on the first 100 days of @AyushmanNHA. It’s great to see how many people h… https://t.co/mGXaz16H7W,0,0
BillGates,54452,"Happy anniversary, @melindagates. I can’t wait to spend 25 more years laughing together. https://t.co/LMJ126c3ua",0,0
BillGates,41288,It’s hard to beat this #10YearChallenge: https://t.co/HZqjeE2Q8t https://t.co/xyfvnBSXky,0,0
BillGates,31786,This is one of my favorite infographics. A lot of people underestimate just how much life has improved over the las… https://t.co/NAKJypSzKM,0,0
BillGates,17419,You can’t beat this ROI. https://t.co/MgzJkjec7l,0,0
jtimberlake,36161,Gotta show out in my hometown 🙌 https://t.co/7AYmK2qwyk,0,0
jtimberlake,21650,"IT’S ALL IN THE HIPS #happygilmore 

https://t.co/VyCgA9nqZQ https://t.co/XPxJDustXF",0,0
jtimberlake,18582,"No place like home 

https://t.co/8fGD4Mq5nT https://t.co/AfIV1yPjQ0",0,0
jtimberlake,11243,"EPIC! 🔥@Tip Your city loves you. Thank you 🙌🙌 

https://t.co/90ugmBWlPx https://t.co/9gLLxVx3ED",0,0
jtimberlake,7127,"Congrats, lady!! 🙌 https://t.co/V6MV1iV5hV",0,0
wizkhalifa,74682,If i ever left you on seen i apologize.,0,0
wizkhalifa,4387,Me and @LoodyBoy412 agreed last night that America’s most wanted was the scariest shit ever. Not only was them nigg… https://t.co/AVDEAOJc3X,0,0
wizkhalifa,1458,https://t.co/MN6J8TGwj2,0,0
Drake,7120,Proud to present MONSTERS AND MEN with @AltitudeFilms in UK and Irish cinemas and on digital platforms today!… https://t.co/7ziBZLircp,0,0
instagram,4255,The floor is lava. 😹 #WeeklyFluff https://t.co/ZSQCD60KIa https://t.co/nSGo66JqjT,0,1
instagram,3528,"We're aware of an issue that caused the app to be down for some users this afternoon. We know this is frustrating,… https://t.co/dy85OVTCb6",0,1
instagram,3469,Eggcellent work here. 🙌😂 https://t.co/EiP6B8jgra,0,1
instagram,3225,Today on our IGTV channel: we’re making friends in high places with Guinness and Pimms. #WeeklyFluff… https://t.co/gRg8TX3abA,0,1
instagram,2286,And the issue is now fully resolved. #instagramdown https://t.co/QwsTzzrVED,0,1
LiamPayne,136273,@ShawnMendes Can I play the triangle?,0,0
LiamPayne,92570,Back to work https://t.co/P76Q1MKT9Y,0,0
LiamPayne,51216,Thank you all so much for coming to last nights charity poker event with @partypokerlive in support of @uclh. https://t.co/9sJrl7Njge,0,0
LiamPayne,43131,I am going to be holding a charity poker tournament to support the incredible @uclh and the work they are doing. To… https://t.co/HoYtoX7GlO,0,0
LiamPayne,39663,Added some new songs to my 23:55 playlist that I’ve been listening to a lot this year! https://t.co/oFUVVLSEca,0,0
jimmyfallon,65719,Happy 2019!!!,0,0
jimmyfallon,12813,Inspirado por  #HamiltonPR #TonightShowPuertoRico https://t.co/SVAYFXivzo,0,0
jimmyfallon,12424,I can’t even with you right now.  Thank you thank you thank you. https://t.co/YNLcCpNK2w,0,0
jimmyfallon,10201,This guy is unbelievable. Please RT. https://t.co/UaB5vO2e7v,0,0
