start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part,channel
55440,50.5840335,467,0.4260956645833328,39,D2.25#,115,2,0
55920,51.0219905,227,0.20711716458333285,42,F2.5#,96,2,0
56160,51.240969,227,0.20711716458333285,46,A2.8333333333333335#,96,2,0
56400,51.4599475,227,0.20711716458333285,54,F3.5#,96,2,0
56640,51.678926,683,0.6231763145833313,51,D3.25#,96,2,0
57360,52.3358615,455,0.4151467395833358,49,C3.083333333333333#,96,2,0
57360,52.3358615,455,0.4151467395833358,53,F3.416666666666667,96,2,0
57840,52.7738185,227,0.20711716458333285,51,D3.25#,96,2,0
58080,52.992797,455,0.4151467395833358,49,C3.083333333333333#,96,2,0
58560,53.430754,683,0.6231763145833313,49,C3.083333333333333#,96,2,0
59280,54.0876895,467,0.4260956645833328,39,D2.25#,115,2,0
59760,54.5256465,227,0.20711716458333285,42,F2.5#,96,2,0
60000,54.744625,227,0.20711716458333285,46,A2.8333333333333335#,96,2,0
60240,54.9636035,227,0.20711716458333285,54,F3.5#,96,2,0
60480,55.182582,683,0.6231763145833313,51,D3.25#,96,2,0
61200,55.8395175,455,0.4151467395833358,49,C3.083333333333333#,96,2,0
61200,55.8395175,455,0.4151467395833358,53,F3.416666666666667,96,2,0
61680,56.2774745,227,0.20711716458333285,51,D3.25#,96,2,0
61920,56.496453,911,0.8312058895833343,49,C3.083333333333333#,96,2,0
63120,57.5913455,467,0.4260956645833328,39,D2.25#,115,2,0
63600,58.0293025,227,0.20711716458333285,42,F2.5#,96,2,0
63840,58.248281,227,0.20711716458333285,46,A2.8333333333333335#,96,2,0
64080,58.4672595,227,0.20711716458333285,54,F3.5#,96,2,0
64320,58.686238,683,0.6231763145833313,51,D3.25#,96,2,0
65040,59.3431735,455,0.4151467395833358,49,C3.083333333333333#,96,2,0
65040,59.3431735,455,0.4151467395833358,53,F3.416666666666667,96,2,0
65520,59.7811305,227,0.20711716458333285,51,D3.25#,96,2,0
65760,60.000109,455,0.4151467395833358,49,C3.083333333333333#,96,2,0
66240,60.438066,455,0.4151467395833358,49,C3.083333333333333#,96,2,0
66960,61.0950015,467,0.4260956645833328,39,D2.25#,115,2,0
67440,61.5329585,227,0.20711716458333285,42,F2.5#,96,2,0
67680,61.751937,227,0.20711716458333285,46,A2.8333333333333335#,96,2,0
67920,61.9709155,227,0.20711716458333285,54,F3.5#,96,2,0
68160,62.189894,683,0.6231763145833313,51,D3.25#,96,2,0
68880,62.8468295,455,0.4151467395833358,49,C3.083333333333333#,96,2,0
68880,62.8468295,455,0.4151467395833358,53,F3.416666666666667,96,2,0
69360,63.2847865,227,0.20711716458333285,51,D3.25#,96,2,0
69600,63.503765,911,0.8312058895833343,49,C3.083333333333333#,96,2,0
71040,64.817636,683,0.6231763145833313,51,D3.25#,80,2,0
71760,65.4745715,455,0.4151467395833358,58,A3.833333333333333#,80,2,0
71760,65.4745715,455,0.4151467395833358,66,F4.5#,80,2,0
72240,65.9125285,227,0.20711716458333285,63,D4.25#,80,2,0
72480,66.131507,455,0.4151467395833358,51,D3.25#,80,2,0
72960,66.569464,683,0.6231763145833313,49,C3.083333333333333#,80,2,0
73680,67.2263995,239,0.2180660895833373,65,F4.416666666666667,80,2,0
73920,67.445378,239,0.2180660895833373,66,F4.5#,80,2,0
74160,67.6643565,239,0.2180660895833373,65,F4.416666666666667,80,2,0
74400,67.883335,227,0.20711716458334029,63,D4.25#,80,2,0
74640,68.1023135,227,0.20711716458334029,61,C4.083333333333333#,80,2,0
74880,68.321292,683,0.6231763145833313,51,D3.25#,80,2,0
75600,68.9782275,455,0.4151467395833284,58,A3.833333333333333#,80,2,0
75600,68.9782275,455,0.4151467395833284,66,F4.5#,80,2,0
76080,69.4161845,227,0.20711716458334029,63,D4.25#,80,2,0
76320,69.635163,455,0.4151467395833284,51,D3.25#,80,2,0
76800,70.07312,683,0.6231763145833313,49,C3.083333333333333#,80,2,0
77520,70.7300555,227,0.20711716458334029,53,F3.416666666666667,80,2,0
77760,70.949034,239,0.2180660895833373,54,F3.5#,80,2,0
78000,71.1680125,239,0.2180660895833373,53,F3.416666666666667,80,2,0
78240,71.386991,239,0.2180660895833373,51,D3.25#,80,2,0
78480,71.6059695,227,0.20711716458334029,49,C3.083333333333333#,80,2,0
78720,71.824948,683,0.6231763145833313,47,B2.9166666666666665,80,2,0
79440,72.4818835,683,0.6231763145833313,54,F3.5#,80,2,0
79440,72.4818835,683,0.6231763145833313,59,B3.916666666666667,80,2,0
80160,73.138819,455,0.4151467395833284,47,B2.9166666666666665,80,2,0
80640,73.576776,683,0.6231763145833313,49,C3.083333333333333#,80,2,0
81360,74.2337115,683,0.6231763145833313,53,F3.416666666666667,80,2,0
81360,74.2337115,683,0.6231763145833313,56,G3.666666666666667#,80,2,0
82080,74.890647,455,0.4151467395833284,49,C3.083333333333333#,80,2,0
82560,75.328604,683,0.6231763145833313,51,D3.25#,80,2,0
83280,75.9855395,455,0.4151467395833284,54,F3.5#,80,2,0
83280,75.9855395,455,0.4151467395833284,58,A3.833333333333333#,80,2,0
83760,76.4234965,227,0.20711716458334029,54,F3.5#,80,2,0
84000,76.642475,455,0.4151467395833284,51,D3.25#,80,2,0
84480,77.080432,683,0.6231763145833313,49,C3.083333333333333#,80,2,0
85200,77.7373675,239,0.2180660895833373,53,F3.416666666666667,80,2,0
85440,77.956346,239,0.2180660895833373,54,F3.5#,80,2,0
85680,78.1753245,239,0.2180660895833373,53,F3.416666666666667,80,2,0
85920,78.394303,239,0.2180660895833373,51,D3.25#,80,2,0
86160,78.6132815,227,0.20711716458334029,49,C3.083333333333333#,80,2,0
86400,78.83226,1823,1.6633241895833313,51,D3.25#,80,2,0
86640,79.0512385,239,0.2180660895833373,58,A3.833333333333333#,96,2,0
86880,79.270217,239,0.2180660895833373,58,A3.833333333333333#,96,2,0
87120,79.4891955,239,0.2180660895833373,58,A3.833333333333333#,96,2,0
87360,79.708174,239,0.2180660895833373,58,A3.833333333333333#,96,2,0
87600,79.9271525,239,0.2180660895833373,58,A3.833333333333333#,96,2,0
87840,80.146131,239,0.2180660895833373,56,G3.666666666666667#,96,2,0
88080,80.3651095,239,0.2180660895833373,58,A3.833333333333333#,96,2,0
88320,80.584088,239,0.2180660895833373,61,C4.083333333333333#,96,2,0
88320,80.584088,1823,1.6633241895833313,49,C3.083333333333333#,80,2,0
88560,80.8030665,239,0.2180660895833373,58,A3.833333333333333#,96,2,0
88800,81.022045,479,0.4370445895833373,56,G3.666666666666667#,96,2,0
89280,81.460002,719,0.6560230895833373,58,A3.833333333333333#,96,2,0
90000,82.1169375,239,0.2180660895833373,58,A3.833333333333333#,96,2,0
90240,82.335916,239,0.2180660895833373,58,A3.833333333333333#,96,2,0
90240,82.335916,1823,1.6633241895833313,51,D3.25#,80,2,0
90480,82.5548945,239,0.2180660895833373,58,A3.833333333333333#,96,2,0
90720,82.773873,239,0.2180660895833373,58,A3.833333333333333#,96,2,0
90960,82.9928515,239,0.2180660895833373,58,A3.833333333333333#,96,2,0
91200,83.21183,239,0.2180660895833373,56,G3.666666666666667#,96,2,0
91440,83.4308085,239,0.2180660895833373,58,A3.833333333333333#,96,2,0
91680,83.649787,239,0.2180660895833373,56,G3.666666666666667#,96,2,0
91920,83.8687655,239,0.2180660895833373,54,F3.5#,96,2,0
92160,84.087744,239,0.2180660895833373,56,G3.666666666666667#,96,2,0
92160,84.087744,1823,1.6633241895833313,49,C3.083333333333333#,80,2,0
92400,84.3067225,239,0.2180660895833373,54,F3.5#,96,2,0
92640,84.525701,959,0.8750015895833373,58,A3.833333333333333#,96,2,0
93840,85.6205935,239,0.2180660895833373,58,A3.833333333333333#,96,2,0
94080,85.839572,239,0.2180660895833373,56,G3.666666666666667#,96,2,0
94080,85.839572,1823,1.6633241895833313,47,B2.9166666666666665,80,2,0
94320,86.0585505,239,0.2180660895833373,54,F3.5#,96,2,0
94560,86.277529,239,0.2180660895833373,51,D3.25#,96,2,0
94800,86.4965075,239,0.2180660895833373,51,D3.25#,96,2,0
95040,86.715486,239,0.2180660895833373,54,F3.5#,96,2,0
95280,86.9344645,239,0.2180660895833373,51,D3.25#,96,2,0
