,district,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other Religion,total_population
604,Diu,48613.0,3190.0,202.0,3.0,1.0,43.0,0.0,52052.0
605,Doda,187621.0,220614.0,472.0,422.0,21.0,22.0,42.0,409214.0
606,Dumka,1044726.0,106865.0,86404.0,234.0,267.0,162.0,78622.0,1317280.0
607,Dungarpur,1340065.0,28662.0,830.0,240.0,226.0,16141.0,853.0,1387017.0
608,Durg,3129745.0,83499.0,24304.0,24276.0,19587.0,17209.0,42569.0,3341189.0
609,East,1410852.0,178807.0,15792.0,53027.0,2643.0,46927.0,366.0,1708414.0
610,East District,177910.0,6198.0,23398.0,861.0,72455.0,214.0,1726.0,282762.0
611,East Garo Hills,17272.0,3359.0,289708.0,56.0,1004.0,38.0,5617.0,317054.0
612,East Godavari,4983330.0,77777.0,77825.0,738.0,413.0,4149.0,403.0,5144635.0
613,East Kameng,12333.0,652.0,37136.0,36.0,452.0,23.0,27868.0,78500.0
614,East Khasi Hills,144935.0,14185.0,543394.0,2495.0,3111.0,303.0,115597.0,824020.0
615,East Siang,27854.0,2289.0,18254.0,69.0,776.0,30.0,49393.0,98665.0
616,Ernakulam,1509557.0,514397.0,1248137.0,860.0,614.0,1176.0,1083.0,3275824.0
617,Erode,2115455.0,76098.0,55899.0,435.0,148.0,639.0,157.0,2248831.0
618,Etah,1611126.0,146346.0,2464.0,708.0,2887.0,5671.0,18.0,1769220.0
619,Etawah,1457892.0,113961.0,1362.0,1045.0,1733.0,3917.0,94.0,1580004.0
620,Faizabad,2094271.0,365806.0,3225.0,1912.0,737.0,358.0,185.0,2466494.0
621,Faridabad,1588407.0,161680.0,9743.0,34572.0,640.0,4883.0,249.0,1800174.0
622,Faridkot,141363.0,3125.0,1227.0,469789.0,155.0,1109.0,103.0,616871.0
623,Farrukhabad,1596278.0,276846.0,3137.0,3160.0,3161.0,487.0,100.0,1883169.0
624,Fatehabad,779243.0,8360.0,996.0,150969.0,171.0,1172.0,530.0,941441.0
625,Fatehgarh Sahib,152851.0,16808.0,1698.0,427521.0,48.0,178.0,251.0,599355.0
626,Fatehpur,2274674.0,350700.0,2201.0,402.0,172.0,199.0,47.0,2628395.0
627,Firozabad,2140745.0,314812.0,3370.0,1804.0,3395.0,19077.0,61.0,2483264.0
628,Firozpur,906408.0,6844.0,19358.0,1090815.0,454.0,1143.0,278.0,2025300.0
629,Gadag,907750.0,143665.0,3432.0,231.0,79.0,5993.0,74.0,1061224.0
630,Gadchiroli,927411.0,21063.0,3872.0,681.0,82695.0,454.0,30047.0,1066223.0
631,Gajapati,353160.0,1556.0,219482.0,53.0,2180.0,66.0,4.0,576501.0
632,Ganderbal,5592.0,290581.0,406.0,486.0,25.0,8.0,4.0,297102.0
